batch,action_idx,action,Q,W
55800,15,"('hunt', 2, 0)",-9.04464054107666,-37.312191009521484
55800,16,"('hunt', 2, 1)",-6.896237850189209,-24.550291061401367
55800,17,"('hunt', 2, 2)",-4.658669948577881,-8.526535034179688
55800,18,"('expedition', 0, 0)",,
56000,0,"('wait', 0, 0)",-11.608686447143555,-44.50732421875
56000,1,"('wait', 0, 1)",-8.845029830932617,-31.63121223449707
56000,2,"('wait', 0, 2)",-8.665260314941406,-31.047279357910156
56000,3,"('wait', 1, 0)",-9.612518310546875,-36.145381927490234
56000,4,"('wait', 1, 1)",-6.006954193115234,-17.284238815307617
56000,5,"('wait', 1, 2)",-6.392947673797607,-19.296598434448242
56000,6,"('wait', 2, 0)",-9.518342018127441,-39.727088928222656
56000,7,"('wait', 2, 1)",-6.7510600090026855,-25.296520233154297
56000,8,"('wait', 2, 2)",-5.203619480133057,-11.468998908996582
56000,9,"('hunt', 0, 0)",-12.009088516235352,-45.03826141357422
56000,10,"('hunt', 0, 1)",-8.614418983459473,-29.465736389160156
56000,11,"('hunt', 0, 2)",-8.458632469177246,-29.66912078857422
56000,12,"('hunt', 1, 0)",-9.262805938720703,-33.99890899658203
56000,13,"('hunt', 1, 1)",-5.827939033508301,-15.523101806640625
56000,14,"('hunt', 1, 2)",-6.029506206512451,-16.8586483001709
56000,15,"('hunt', 2, 0)",-9.04464054107666,-37.312191009521484
56000,16,"('hunt', 2, 1)",-6.920212268829346,-24.64356803894043
56000,17,"('hunt', 2, 2)",-4.640506267547607,-8.68978214263916
56000,18,"('expedition', 0, 0)",,
56200,0,"('wait', 0, 0)",-11.608686447143555,-44.50732421875
56200,1,"('wait', 0, 1)",-8.845029830932617,-31.63121223449707
56200,2,"('wait', 0, 2)",-8.665260314941406,-31.047279357910156
56200,3,"('wait', 1, 0)",-9.612518310546875,-36.145381927490234
56200,4,"('wait', 1, 1)",-6.006954193115234,-17.284238815307617
56200,5,"('wait', 1, 2)",-6.395082950592041,-19.294116973876953
56200,6,"('wait', 2, 0)",-9.518342018127441,-39.727088928222656
56200,7,"('wait', 2, 1)",-6.7510600090026855,-25.296520233154297
56200,8,"('wait', 2, 2)",-5.203739166259766,-11.467827796936035
56200,9,"('hunt', 0, 0)",-12.009088516235352,-45.03826141357422
56200,10,"('hunt', 0, 1)",-8.639214515686035,-29.554317474365234
56200,11,"('hunt', 0, 2)",-8.467592239379883,-29.634445190429688
56200,12,"('hunt', 1, 0)",-9.288738250732422,-34.082008361816406
56200,13,"('hunt', 1, 1)",-5.827939033508301,-15.523101806640625
56200,14,"('hunt', 1, 2)",-6.020890712738037,-16.770549774169922
56200,15,"('hunt', 2, 0)",-9.040963172912598,-37.199615478515625
56200,16,"('hunt', 2, 1)",-6.920212268829346,-24.64356803894043
56200,17,"('hunt', 2, 2)",-4.64794397354126,-9.030316352844238
56200,18,"('expedition', 0, 0)",,
56400,0,"('wait', 0, 0)",-11.616324424743652,-44.51737976074219
56400,1,"('wait', 0, 1)",-8.875274658203125,-31.713743209838867
56400,2,"('wait', 0, 2)",-8.665260314941406,-31.047279357910156
56400,3,"('wait', 1, 0)",-9.612518310546875,-36.145381927490234
56400,4,"('wait', 1, 1)",-6.01059627532959,-17.283342361450195
56400,5,"('wait', 1, 2)",-6.397211074829102,-19.2923526763916
56400,6,"('wait', 2, 0)",-9.518342018127441,-39.727088928222656
56400,7,"('wait', 2, 1)",-6.754836559295654,-25.302349090576172
56400,8,"('wait', 2, 2)",-5.203977108001709,-11.4669771194458
56400,9,"('hunt', 0, 0)",-12.009088516235352,-45.03826141357422
56400,10,"('hunt', 0, 1)",-8.648080825805664,-29.54842758178711
56400,11,"('hunt', 0, 2)",-8.467592239379883,-29.634445190429688
56400,12,"('hunt', 1, 0)",-9.325400352478027,-34.20001220703125
56400,13,"('hunt', 1, 1)",-5.827939033508301,-15.523101806640625
56400,14,"('hunt', 1, 2)",-6.022434234619141,-16.75192642211914
56400,15,"('hunt', 2, 0)",-9.040963172912598,-37.199615478515625
56400,16,"('hunt', 2, 1)",-6.92371129989624,-24.670238494873047
56400,17,"('hunt', 2, 2)",-4.5501813888549805,-8.516158103942871
56400,18,"('expedition', 0, 0)",,
56600,0,"('wait', 0, 0)",-11.64399242401123,-44.58698272705078
56600,1,"('wait', 0, 1)",-8.875274658203125,-31.713743209838867
56600,2,"('wait', 0, 2)",-8.67002010345459,-31.04601287841797
56600,3,"('wait', 1, 0)",-9.61844253540039,-36.14976501464844
56600,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
56600,5,"('wait', 1, 2)",-6.389233589172363,-19.202102661132812
56600,6,"('wait', 2, 0)",-9.525299072265625,-39.73798751831055
56600,7,"('wait', 2, 1)",-6.754836559295654,-25.302349090576172
56600,8,"('wait', 2, 2)",-5.203977108001709,-11.4669771194458
56600,9,"('hunt', 0, 0)",-12.036764144897461,-45.10733413696289
56600,10,"('hunt', 0, 1)",-8.648080825805664,-29.54842758178711
56600,11,"('hunt', 0, 2)",-8.47203540802002,-29.649045944213867
56600,12,"('hunt', 1, 0)",-9.330886840820312,-34.21841049194336
56600,13,"('hunt', 1, 1)",-5.8494648933410645,-15.62696361541748
56600,14,"('hunt', 1, 2)",-6.023965835571289,-16.733549118041992
56600,15,"('hunt', 2, 0)",-9.073996543884277,-37.30921936035156
56600,16,"('hunt', 2, 1)",-6.947397232055664,-24.762155532836914
56600,17,"('hunt', 2, 2)",-4.4641900062561035,-8.159452438354492
56600,18,"('expedition', 0, 0)",,
56800,0,"('wait', 0, 0)",-11.651556015014648,-44.595741271972656
56800,1,"('wait', 0, 1)",-8.875274658203125,-31.713743209838867
56800,2,"('wait', 0, 2)",-8.67002010345459,-31.04601287841797
56800,3,"('wait', 1, 0)",-9.61844253540039,-36.14976501464844
56800,4,"('wait', 1, 1)",-6.014225482940674,-17.28200340270996
56800,5,"('wait', 1, 2)",-6.389233589172363,-19.202102661132812
56800,6,"('wait', 2, 0)",-9.549116134643555,-39.69799041748047
56800,7,"('wait', 2, 1)",-6.754836559295654,-25.302349090576172
56800,8,"('wait', 2, 2)",-5.203977108001709,-11.4669771194458
56800,9,"('hunt', 0, 0)",-12.036764144897461,-45.10733413696289
56800,10,"('hunt', 0, 1)",-8.648080825805664,-29.54842758178711
56800,11,"('hunt', 0, 2)",-8.47203540802002,-29.649045944213867
56800,12,"('hunt', 1, 0)",-9.330886840820312,-34.21841049194336
56800,13,"('hunt', 1, 1)",-5.8494648933410645,-15.62696361541748
56800,14,"('hunt', 1, 2)",-6.025493144989014,-16.751995086669922
56800,15,"('hunt', 2, 0)",-9.080423355102539,-37.34146499633789
56800,16,"('hunt', 2, 1)",-6.947397232055664,-24.762155532836914
56800,17,"('hunt', 2, 2)",-4.313692092895508,-7.3620524406433105
